"_id","_ignored","_index","_score",hostname,"hostname.keyword","query_name","query_name.keyword","raw_data.address","raw_data.address.keyword","raw_data.cpu_seconds","raw_data.cpu_seconds.keyword","raw_data.hotfix_id","raw_data.hotfix_id.keyword","raw_data.installed_on","raw_data.installed_on.keyword","raw_data.memory_mb","raw_data.memory_mb.keyword","raw_data.name","raw_data.name.keyword","raw_data.path","raw_data.path.keyword","raw_data.pid","raw_data.pid.keyword","raw_data.port","raw_data.port.keyword","raw_data.protocol","raw_data.protocol.keyword","raw_data.publisher","raw_data.publisher.keyword","raw_data.version","raw_data.version.keyword","risk_score","summary_text","summary_text.keyword",timestamp
4ZqAwJoBgRINlVaoMTwR,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",25,25,"lsass.exe","lsass.exe","C:\Windows\System32\lsass.exe","C:\Windows\System32\lsass.exe",1356,1356,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
4pqAwJoBgRINlVaoMTwU,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",29,29,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1496,1496,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
45qAwJoBgRINlVaoMTwW,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",1,1,"fontdrvhost.exe","fontdrvhost.exe","C:\Windows\System32\fontdrvhost.exe","C:\Windows\System32\fontdrvhost.exe",1528,1528,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
5JqAwJoBgRINlVaoMTwY,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",18,18,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1620,1620,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
5ZqAwJoBgRINlVaoMTwa,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",8,8,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1676,1676,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
5pqAwJoBgRINlVaoMTwc,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",10,10,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1880,1880,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
55qAwJoBgRINlVaoMTwe,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",7,7,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1896,1896,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
6JqAwJoBgRINlVaoMTwf,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",4,4,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1904,1904,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
6ZqAwJoBgRINlVaoMTwh,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",8,8,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",936,936,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
6pqAwJoBgRINlVaoMTwj,"-","osquery-logs","-",MSI,MSI,"process_status","process_status","-","-",0,0,"-","-","-","-",6,6,"svchost.exe","svchost.exe","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe",1420,1420,"-","-","-","-","-","-","-","-",0,"(empty)","(empty)","Nov 26, 2025 @ 22:07:41.000"
